Departement,50kmh,80-90kmh,110kmh,130kmh
1,155,183,29,23
2,92,89,4,11
3,105,112,0,8
4,53,144,3,2
5,134,86,0,1
6,791,78,24,0
7,104,118,0,0
8,39,39,3,5
9,41,59,2,1
10,246,80,19,11
11,153,115,0,13
12,62,95,1,10
13,1866,557,147,64
14,235,154,13,12
15,28,45,2,3
16,52,101,13,0
17,296,168,12,11
18,64,75,2,12
19,110,48,3,5
20,0,0,0,0
21,93,74,3,22
22,163,134,58,0
23,16,38,3,0
24,44,112,1,1
25,149,67,2,4
26,121,115,6,26
27,164,137,5,23
28,74,93,3,30
29,386,123,43,0
30,186,178,2,16
31,491,205,7,27
32,59,88,0,0
33,748,359,48,81
34,498,194,16,35
35,404,221,37,3
36,71,54,2,7
37,478,139,1,14
38,302,234,12,28
39,28,64,0,6
40,58,88,2,4
41,116,80,1,22
42,208,109,10,7
43,54,64,1,0
44,315,142,12,7
45,405,97,5,25
46,19,59,1,6
47,53,89,0,5
48,21,43,3,5
49,266,171,10,7
50,206,162,7,7
51,333,80,10,19
52,52,50,2,7
53,31,64,0,5
54,365,92,21,2
55,35,47,2,4
56,276,154,16,0
57,179,104,25,6
58,94,57,3,7
59,599,118,37,10
60,210,131,24,30
61,47,110,3,11
62,326,152,15,25
63,234,138,9,10
64,592,100,2,6
65,62,40,3,0
66,204,57,22,7
67,441,183,13,9
68,204,120,16,16
69,1904,211,31,18
70,48,59,4,0
71,283,137,16,15
72,171,131,1,22
73,86,84,9,7
74,281,132,14,8
75,4126,26,1,0
76,417,144,12,19
77,301,382,130,45
78,220,100,161,76
79,91,88,7,7
80,257,120,15,34
81,74,112,2,3
82,62,69,1,6
83,321,191,35,24
84,109,79,0,8
85,130,127,10,8
86,133,106,6,8
87,277,80,14,7
88,86,69,8,3
89,73,95,3,23
90,19,20,4,0
91,691,225,258,17
92,1884,217,49,1
93,2125,399,186,0
all,29275,11279,1778,1143
