Departement,50kmh,80to90kmh,110kmh,130kmh
1,"[128, 4, 83, 127]","[130, 22, 119, 149, 4, 2, 6, 8]","[33, 1, 6, 35]","[39, 0, 13, 31]"
2,"[82, 5, 53, 48]","[83, 19, 61, 50, 0, 0, 1, 1]","[3, 2, 2, 0]","[11, 2, 5, 8]"
3,"[98, 8, 58, 65]","[89, 14, 83, 64, 0, 0, 1, 0]","[0, 0, 0, 0]","[7, 0, 2, 12]"
4,"[45, 1, 23, 41]","[101, 14, 99, 101, 0, 0, 0, 1]","[3, 0, 1, 2]","[5, 0, 1, 2]"
5,"[132, 8, 37, 133]","[68, 8, 51, 78, 0, 0, 0, 2]","[0, 0, 0, 0]","[0, 0, 1, 1]"
6,"[720, 38, 300, 690]","[15, 2, 36, 14, 30, 4, 17, 38]","[25, 2, 19, 13]","[0, 0, 0, 0]"
7,"[93, 8, 40, 78]","[60, 20, 68, 77, 4, 0, 3, 5]","[0, 0, 0, 0]","[0, 0, 0, 0]"
8,"[29, 1, 26, 18]","[15, 17, 25, 16, 1, 0, 1, 0]","[5, 0, 3, 1]","[1, 4, 4, 5]"
9,"[31, 5, 19, 30]","[37, 2, 45, 40, 0, 0, 1, 1]","[0, 0, 1, 4]","[0, 1, 3, 1]"
10,"[260, 5, 48, 244]","[59, 12, 44, 75, 4, 0, 0, 1]","[23, 0, 6, 27]","[12, 1, 10, 3]"
11,"[150, 5, 57, 112]","[82, 23, 88, 66, 14, 0, 5, 5]","[0, 0, 0, 0]","[49, 3, 8, 27]"
12,"[57, 4, 33, 36]","[74, 12, 69, 70, 1, 0, 0, 2]","[0, 0, 4, 2]","[9, 0, 8, 10]"
13,"[1568, 39, 486, 2004]","[130, 27, 148, 127, 368, 8, 55, 533]","[170, 6, 24, 201]","[138, 5, 17, 86]"
14,"[218, 11, 88, 195]","[107, 17, 93, 79, 14, 1, 3, 13]","[2, 1, 8, 10]","[27, 2, 11, 11]"
15,"[32, 1, 16, 12]","[29, 7, 32, 11, 1, 0, 1, 0]","[1, 0, 0, 2]","[15, 2, 0, 1]"
16,"[46, 3, 30, 28]","[63, 7, 95, 40, 1, 1, 1, 0]","[12, 1, 9, 11]","[0, 0, 0, 0]"
17,"[288, 8, 96, 244]","[106, 36, 112, 84, 22, 0, 2, 32]","[8, 3, 7, 5]","[16, 2, 9, 6]"
18,"[43, 9, 32, 38]","[53, 12, 53, 37, 0, 0, 0, 0]","[5, 0, 0, 3]","[27, 0, 7, 18]"
19,"[114, 1, 27, 103]","[21, 2, 40, 23, 16, 1, 2, 1]","[2, 1, 1, 1]","[8, 0, 7, 7]"
20,"[0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
21,"[86, 11, 58, 56]","[48, 15, 64, 49, 8, 0, 2, 6]","[3, 0, 2, 4]","[27, 2, 14, 17]"
22,"[138, 11, 70, 117]","[110, 17, 84, 63, 24, 0, 2, 19]","[48, 3, 22, 60]","[0, 0, 0, 0]"
23,"[15, 2, 13, 5]","[37, 5, 32, 6, 0, 0, 0, 0]","[3, 0, 2, 2]","[0, 0, 0, 0]"
24,"[42, 3, 38, 11]","[92, 13, 90, 61, 0, 0, 1, 3]","[0, 0, 1, 0]","[0, 1, 1, 0]"
25,"[142, 2, 69, 120]","[48, 19, 53, 28, 6, 0, 2, 11]","[2, 1, 1, 1]","[13, 0, 2, 4]"
26,"[106, 8, 66, 89]","[80, 15, 75, 78, 6, 0, 4, 8]","[20, 0, 2, 11]","[34, 5, 20, 20]"
27,"[169, 10, 66, 145]","[99, 17, 94, 81, 6, 1, 2, 7]","[2, 0, 3, 3]","[38, 1, 18, 22]"
28,"[53, 2, 46, 47]","[59, 18, 81, 38, 4, 2, 3, 4]","[0, 0, 2, 3]","[34, 6, 25, 20]"
29,"[348, 12, 106, 368]","[74, 13, 75, 81, 19, 0, 4, 20]","[40, 5, 20, 35]","[0, 0, 0, 0]"
30,"[189, 18, 94, 126]","[89, 22, 130, 117, 7, 1, 14, 6]","[1, 0, 2, 1]","[20, 6, 10, 20]"
31,"[500, 23, 165, 397]","[68, 14, 72, 57, 136, 5, 24, 126]","[7, 0, 7, 3]","[49, 11, 19, 32]"
32,"[47, 2, 35, 34]","[57, 18, 66, 37, 0, 1, 2, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
